film,rus_name,year,type,rating,country,duration,age,genres,actors,description,url_picture,url_trailer,url_watch
"Fight Club,Бойцовский клуб,1999 ,movie,8.664,США,139.0,18.0,""['триллер', 'драма', 'криминал']"",""['Эдвард Нортон', 'Брэд Питт', 'Хелена Бонем Картер', 'Мит Лоаф', 'Зэк Гренье', 'Холт Маккэллани', 'Джаред Лето', 'Эйон Бэйли', 'Ричмонд Аркетт', 'Дэвид Эндрюс', 'Даст Бразерс', 'Джон Кинг', 'Майкл Симпсон', 'Крис Горак', 'Майкл Каплан', 'Джей Харт', 'Дэвид Финчер', 'Джеймс Хэйгуд', 'Джефф Кроненвет', 'Росс Грэйсон Белл', 'Сиан Чаффин', 'Джон С. Дорси', 'Арт Линсон', 'Евгений Дятлов', 'Петр Семак', 'Светлана Смирнова', 'Вадим Гущин', 'Евгений Иванов', 'Джим Улс', 'Чак Паланик']"",Страховой работник разрушает рутину своей благополучной жизни. Культовая драма по книге Чака Паланика,https://avatars.mds.yandex.net/get-kinopoisk-image/1898899/8ef070c9-2570-4540-9b83-d7ce759c0781/orig,https://www.youtube.com/embed/6JnN1DmbqoU,https://hd.kinopoisk.ru/?rt=44f2da0d8ace7b0ab1889e03a6a52d37"
"Pulp Fiction,Криминальное чтиво,1994 ,movie,8.649,США,154.0,18.0,""['криминал', 'драма']"",""['Джон Траволта', 'Сэмюэл Л. Джексон', 'Брюс Уиллис', 'Ума Турман', 'Винг Реймз', 'Тим Рот', 'Харви Кейтель', 'Квентин Тарантино', 'Питер Грин', 'Аманда Пламмер', 'Чарльз Коллам', 'Бетси Хайман', 'Сэнди Рейнольдс-Уоско', 'Квентин Тарантино', 'Салли Менке', 'Анджей Секула', 'Лоуренс Бендер', 'Дэнни ДеВито', 'Ричард Н. Гладштейн', 'Майкл Шамберг', 'Артемий Веселов', 'Сергей Козик', 'Олег Алмазов', 'Наталия Тарыничева', 'Максим Сергеев', 'Квентин Тарантино', 'Роджер Эвери']"",""Несколько связанных историй из жизни бандитов. Шедевр Квентина Тарантино, который изменил мировое кино"",https://avatars.mds.yandex.net/get-kinopoisk-image/1900788/87b5659d-a159-4224-9bff-d5a5d109a53b/orig,https://www.youtube.com/embed/2fUuQsLcJVw,https://hd.kinopoisk.ru/?rt=45e8f29f25fe31a59be88301baa5caa1"
"American Psycho,Американский психопат,2000 ,movie,7.151,США,102.0,18.0,""['драма', 'криминал', 'триллер']"",""['Кристиан Бэйл', 'Уиллем Дефо', 'Джош Лукас', 'Риз Уизерспун', 'Кэра Сеймур', 'Джастин Теру', 'Джаред Лето', 'Хлоя Севиньи', 'Саманта Мэтис', 'Мэтт Росс', 'Джон Кейл', 'Эндрю М. Стерн', 'Айзис Массенден', 'Джинн Девелл', 'Мэри Хэррон', 'Эндрю Маркус', 'Анджей Секула', 'Кристиан Халсли Соломон', 'Крис Хэнли', 'Эдвард Р. Прессман', 'Эрни Барбараш', 'Мэри Хэррон', 'Гвиневер Тёрнер', 'Брет Истон Эллис']"",Страсть к совершенству превращает успешного брокера в жестокого убийцу. Культовый триллер с Кристианом Бэйлом,https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/cd539991-3fae-4931-b7d7-1d9e54cbc969/orig,https://www.youtube.com/embed/5YnGhW4UEhc,https://24h.tv/contents/2000-american-psycho-875634658138457232"
"The Wolf of Wall Street,Волк с Уолл-стрит,2013 ,movie,7.993,США,180.0,18.0,""['драма', 'криминал', 'биография', 'комедия']"",""['Леонардо ДиКаприо', 'Джона Хилл', 'Марго Робби', 'Кайл Чандлер', 'Роб Райнер', 'П.Дж. Бирн', 'Джон Бернтал', 'Кристин Милиоти', 'Жан Дюжарден', 'Мэттью МакКонахи', 'Крис Шрайвер', None, 'Сэнди Пауэлл', 'Эллен Кристиансен', 'Мартин Скорсезе', 'Тельма Скунмейкер', 'Родриго Прието', 'Риза Азиз', 'Леонардо ДиКаприо', 'Мартин Скорсезе', 'Эмма Тиллинджер Коскофф', 'Сергей Бурунов', 'Диомид Виноградов', 'Татьяна Шитова', 'Вадим Медведев', 'Владимир Левашёв', 'Теренс Уинтер', 'Джордан Белфорт']"",Восхождение циника-гедониста на бизнес-олимп 1980-х. Блистательный тандем Леонардо ДиКаприо и Мартина Скорсезе,https://avatars.mds.yandex.net/get-kinopoisk-image/1946459/5c758ac0-7a5c-4f00-a94f-1be680a312fb/orig,https://www.youtube.com/embed/W8oTil54t1s,https://hd.kinopoisk.ru/?rt=4d05a2c799d34ac9bb644af70c8e5dc1"
"Blade Runner,Бегущий по лезвию,1982 ,movie,7.723,США,117.0,16.0,""['фантастика', 'драма', 'детектив', 'боевик']"",""['Харрисон Форд', 'Рутгер Хауэр', 'Шон Янг', 'Эдвард Джеймс Олмос', 'М. Эммет Уолш', 'Дэрил Ханна', 'Уильям Сэндерсон', 'Брайон Джеймс', 'Джо Тёркел', 'Джоанна Кэссиди', 'Вангелис', 'Дэвид Л. Снайдер', 'Майкл Каплан', 'Чарльз Ноуд', 'Линда ДеСенна', 'Лесли МакКарти-Франкенхаймер', 'Томас Л. Ройсден', 'Пег Каммингс', 'Ридли Скотт', 'Марша Накашима', 'Терри Роулингс', 'Джордан Кроненвет', 'Чарльз де Лозирика', 'Майкл Дили', 'Хэмптон Фанчер', 'Брайан Келли', 'Валерий Сторожик', 'Рудольф Панков', 'Леонид Белозорович', 'Наталья Казначеева', 'Елена Соловьева', 'Хэмптон Фанчер', 'Дэвид Уэбб Пиплз', 'Филип К. Дик']"",Детектив Декард преследует сбежавших андроидов. Культовый киберпанк Ридли Скотта о человеке и человечности ,https://st.kp.yandex.net/images/film_big/403.jpg,https://www.youtube.com/embed/2wB6PBphMiU,"
"Blade Runner 2049,Бегущий по лезвию 2049,2017 ,movie,7.78,США,164.0,18.0,""['фантастика', 'боевик', 'триллер', 'драма']"",""['Райан Гослинг', 'Харрисон Форд', 'Ана де Армас', 'Сильвия Хукс', 'Робин Райт', 'Маккензи Дэвис', 'Карла Юри', 'Ленни Джеймс', 'Дэйв Батиста', 'Джаред Лето', 'Бенджамин Уоллфиш', 'Ханс Циммер', 'Дэвид Доран', 'Бенце Эрдейи', 'Лидия Фрай', 'Пол Инглис', 'Тибор Лазар', 'Род МакЛин', 'Гергели Ригер', 'Стефан Спет', 'Рени Эйприл', None, 'Алессандра Керцола', 'Жужанна Шипош', 'Дени Вильнёв', 'Джо Уокер', 'Роджер Дикинс', 'Йель Бадик', 'Дэна Белкастро', 'Билл Карраро', 'Тим Гэмбл', 'Данил Щебланов', 'Владимир Антоник', 'Мария Иващенко', 'Рамиля Искандер', 'Любовь Германова', 'Майкл Грин', 'Хэмптон Фанчер', 'Филип К. Дик']"",""Полицейский ищет Рика Декарда, пропавшего 30 лет назад. Красивый сиквел культового сай-фая от Дени Вильнёва"",https://avatars.mds.yandex.net/get-kinopoisk-image/1898899/33dbf977-208f-448c-8726-d2fafdcced28/orig,https://www.youtube.com/embed/OK3Yw2FGvBw,https://www.ivi.ru/watch/138244?utm_source=yandex&utm_medium=wizard"
"A Clockwork Orange,Заводной апельсин,1971 ,movie,7.905,Великобритания,137.0,18.0,""['фантастика', 'криминал']"",""['Малкольм Макдауэлл', 'Патрик Мэги', 'Майкл Бейтс', 'Уоррен Кларк', 'Джон Клайв', 'Эдриенн Корри', 'Карл Дюринг', 'Пол Фэррел', 'Клайв Фрэнсис', 'Майкл Говер', 'Расселл Хэгг', 'Питер Шилдс', 'Милена Канонеро', 'Стэнли Кубрик', 'Билл Батлер', 'Джон Олкотт', 'Стэнли Кубрик', 'Сай Литвинофф', 'Макс Л. Рааб', 'Бернард Уильямс', 'Стэнли Кубрик', 'Энтони Бёрджесс']"",Власти пытаются перевоспитать подростка-психопата. Скандальная экранизация шедевра Энтони Бёрджесса,https://st.kp.yandex.net/images/film_big/391.jpg,https://www.youtube.com/embed/T54uZPI4Z8A,"
"Fear and Loathing in Las Vegas,Страх и ненависть в Лас-Вегасе,1998 ,movie,7.611,США,118.0,18.0,""['драма', 'комедия']"",""['Джонни Депп', 'Бенисио Дель Торо', 'Тоби Магуайр', 'Кристина Риччи', 'Майкл Джитер', 'Гэри Бьюзи', 'Эллен Баркин', 'Марк Хэрмон', 'Крэйг Бирко', 'Кэтрин Хелмонд', 'Рэй Купер', 'Крис Горак', 'Джули Уайсс', 'Нэнси Хэй', 'Терри Гиллиам', 'Лесли Уолкер', 'Никола Пекорини', 'Патрик Кассаветти', 'Лайла Набулси', 'Стефен Немет', 'Харольд Бронсон', 'Сергей Бурунов', 'Константин Карасик', 'Прохор Чеховской', 'Полина Щербакова', 'Александр Коврижных', 'Терри Гиллиам', 'Тони Гризони', 'Тод Дейвис', 'Алекс Кокс']"",Репортер и его адвокат погружаются в мир психоделии. Фантасмагория Терри Гиллиама по роману Хантера Томпсона,https://avatars.mds.yandex.net/get-kinopoisk-image/4303601/a0e960cd-0883-4b51-a6fe-709c166b41d8/orig,https://www.youtube.com/embed/QIj7bxWM7ak,https://www.ivi.ru/watch/98523?utm_source=yandex&utm_medium=wizard"
"The Godfather,Крестный отец,1972 ,movie,8.707,США,175.0,16.0,""['драма', 'криминал']"",""['Марлон Брандо', 'Аль Пачино', 'Джеймс Каан', 'Роберт Дювалл', 'Ричард С. Кастеллано', 'Дайан Китон', 'Талия Шайр', 'Джон Казале', 'Аль Леттьери', 'Стерлинг Хейден', 'Нино Рота', 'Уоррен Клаймер', 'Анна Хилл Джонстоун', 'Ричард Ади', 'Филип Смит', 'Фрэнсис Форд Коппола', 'Уильям Рейнольдс', 'Питер Зиннер', 'Гордон Уиллис', 'Грэй Фредериксон', 'Альберт С. Радди', 'Александр Новиков', 'Владимир Еремин', 'Пётр Иващенко', 'Василий Дахненко', 'Константин Карасик', 'Фрэнсис Форд Коппола', 'Марио Пьюзо']"",В семье крупного нью-йоркского мафиози наметился кризис. Революция в гангстерском кино и начало большого эпоса,https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/c11652e8-653b-47c1-8e72-1552399a775b/orig,https://www.youtube.com/embed/xG0zqJd-XyY,https://24h.tv/contents/1972-the-godfather-546399635539755664"
"Taxi Driver,Таксист,1976 ,movie,7.767,США,114.0,18.0,""['триллер', 'драма', 'криминал']"",""['Роберт Де Ниро', 'Сибилл Шепард', 'Джоди Фостер', 'Харви Кейтель', 'Питер Бойл', 'Леонард Харрис', 'Альберт Брукс', 'Мартин Скорсезе', 'Гарт Эйвери', 'Ричард Хиггс', 'Бернард Херрманн', 'Чарльз Розен', 'Рут Морли', 'Херберт Ф. Маллиган', 'Мартин Скорсезе', 'Том Рольф', 'Мелвин Шапиро', 'Майкл Чэпмен', 'Филлип М. Голдфарб', 'Джулия Филлипс', 'Майкл Филлипс', 'Дмитрий Поляновский', 'Татьяна Абрамова', 'Юлия Горохова', 'Андрей Вальц', 'Антон Савенков', 'Пол Шредер']"",Ветеран войны вязнет в пучине одиночества. Абсолютный шедевр Мартина Скорсезе с незабываемым Робертом Де Ниро,https://avatars.mds.yandex.net/get-kinopoisk-image/4716873/e2d3a565-39a6-4bce-8ade-7033072d9039/orig,https://www.youtube.com/embed/S7ORyD-e7-0,https://www.ivi.ru/watch/83320?utm_source=yandex&utm_medium=wizard"
